Name,Description,Images
Coyote,"This canid is shorter and lighter than a gray wolf. Their fur is typically a mix of tan, brown, black, and cinnamon. Coyotes have a distinctive pointed muzzle and pointed ears, which are large in proportion to the head. ","coyote-1.jpg,
coyote-2.jpg,
coyote-3.jpg"
"Crane, Sandhill",This tall bird is gray to brown. It has a bright red patch on the crest of the head and long black legs. Young are gray with scattered reddish brown feathers. ,"crane-sandhill-1.jpg,
crane-sandhill-2.jpg,
crane-sandhill-3.jpg"
"Crane, Whooping",This tall bird is white in color with red facial skin and long black legs. Young are reddish brown with scattered white feathers. ,"crane-whooping-1.jpg,
crane-whooping-2.jpg"
Deer,"Lightly built, whitetail deer are grayish brown to reddish brown in color. The underside of their short tail is white.  Males have antlers which fork off a main branch and the young are reddish brown in color with white spots.","deer-white-tailed-1.jpg,
deer-white-tailed-2.jpg,
deer-white-tailed-3.jpg"
"Dog, Domestic",Domestic dogs come in all shapes and sizes. Look for unique coloration or patterns not found in the wild. Also look for signs of humans (including a collar or leash) to differentiate domestic dogs from their wild canid counterparts. ,"dog-domestic-1.jpg,
dog-domestic-2.jpg,
dog-domestic-3.jpg"
Elk,"Elk have a large, thick body with long slender legs. They have a dark brown head and neck, lighter body, and a cream colored rump.  Males have antlers which fork off a main branch and a dark shaggy mane that hangs from the neck to the chest. The young have white spots.","elk-1.jpg,
elk-2.jpg,
elk-3.jpg"
Fisher,"Fishers are medium in size and have dark brown bodies with long bushy tail. The head, neck, and shoulders can be a grizzled yellowish brown. Fishers may also have a cream colored patch on the chin or chest. ","fisher-1.jpg,
fisher-2.jpg"
"Fox, Gray",These medium-size mammals have distinctive coloration. Their upper side is grizzled gray and cinnamon with a buff colored neck and underside. The long tail has a black stripe on the upper side and a black tip. ,"fox-gray-1.jpg,
fox-gray-2.jpg,
fox-gray-3.jpg"
"Fox, Red",These medium-size mammals vary in color from yellowish red to reddish brown on the upper side with a white underside and nearly black legs. Red foxes have a bushy tail with a white tip. Other color variations include cross foxes (grizzled gray down back and across shoulders) and silver foxes (entire body silver to nearly black). ,"fox-red-1.jpg,
fox-red-2.jpg,
fox-red-3.jpg"
Grouse,Wisconsin is home to both spruce grouse and ruffed grouse. Both can appear red or gray in color. Ruffed grouse have a small crest on the top of the head with a black ruff on the sides of the neck. Male spruce grouse have a dark throat and breast. ,"grouse-1.jpg,
grouse-2.jpg"
"Hare, Snowshoe","Hares' coloration varies with season. In the summer, hares have dark brown to reddish brown fur, and in the winter, the fur is white.  Their coat is more homogenous than a cottontail rabbit. Hares have long feet and ears are large in proportion to the body. ","hare-snowshoe-1.jpg,
hare-snowshoe-2.jpg,
hare-snowshoe-3.jpg"
Human,"Occasionally you may see humans or their vehicles (including cars, bikes, or ATV) using the same areas as wildlife.  ","human-1.jpg,
human-2.jpg"
"Jackrabbit, White-Tailed","Jackrabbits' coloration varies with season. The upper side is grayish brown in color with gray or white on the underside, and in the winter, the fur is white. The tail is white year-round. Jackrabbits have ears which are longer then the head. Observation of this species in Wisconsin is rare. ",jackrabbit-white-tailed-1.jpg
Lynx,"The coat of this cat varies from gray to grayish brown with spots on the legs and belly. The lynx has long black tuffs on the ears. They have short tails that are tipped black. In comparison to a bobcat, lynx have very large furry feet and long legs. Lynx are very uncommon in Wisconsin, although rare sightings of visitors from Canada do occur.   ","lynx-canada-1.jpg"
"Marten, American","This small, long-bodied animal has a bushy tail. The fur of a marten varies from dark brown to tan, usually with a paler head and dark legs. The throat of a marten is whitish cream to orange. The ears of a marten are relatively large and rounded.  This is an uncommon species in Wisconsin. ","marten-american-1.jpg,
marten-american-2.jpg,
marten-american-3.jpg"
"Mink, American","This small long-bodied animal is typically found near water. The fur of a mink is dark brown. Mink may sometimes have white patches on the chin and chest.  Compared to a marten, they are more uniformly colored.  Their face is flat and pointed. ","mink-american-1.jpg,
mink-american-2.jpg,
mink-american-3.jpg"
Moose,Moose are one of the largest land mammals in North America. They have a blackish brown body with a long nose. Males have large palmate antlers and the young are reddish brown. This is an uncommon species in Wisconsin. ,moose-1.jpg
Muskrat,"The body of a muskrat is stout with dark brown fur. Muskrats have short rounded ears, barely protruding above the fur, and a rounded, scaly tail. They are typically found near water. ",muskrat-1.jpg
"Opossum, Virginia",Opossums have short legs and a thick body. They are typically grizzled gray in color with a white head. The tail is scaly and is black at the base with a white tip. Their large ears are mostly furless.,"opossum-virginia-1.jpg,
opossum-virginia-2.jpg,
opossum-virginia-3.jpg"
Other Domestic,"Occasionally you may see other domestic animals, such as swine or cattle. ","
other-domestic-1.jpg,
other-domestic-2.jpg"
Otter,"Otters are stocky, medium-sized mammals usually found near water. They have short, dense dark brown fur and are sleek in appearance. Otters have a muscular neck and thick tail which tapers at the tip. ","otter-1.jpg,
otter-2.jpg,
otter-3.jpg"
Pheasant,This bird has a long pointed tail and short rounded wings. Males appear iridescent bronze with a green and black head. Males also have fleshy eye patches and a white neck ring. Overall females are a buff color and are more dull than males. ,"pheasant-ring-necked-1.jpg,
pheasant-ring-necked-2.jpg"
"Pig, Feral","Feral pigs or wild hogs are stocky animals and can vary greatly in size and color. Compared to domestic swine, they have longer snouts, longer course hair, a straight tail, and may have tusks. This exotic species is not common in Wisconsin. ","pig-feral-1.jpg,
pig-feral-2.jpg,
pig-feral-3.jpg"
Porcupine,"The body of a porcupine is stout and covered in quills, which are partially concealed by long guard hairs. Porcupines appear dark brown in color.  ","porcupine-north-american-1.jpg,
porcupine-north-american-2.jpg,
porcupine-north-american-3.jpg"
Raccoon,Raccoons are stocky with slender paws. They vary in color from gray to reddish brown to buff. Raccoons have a distinctive black mask across the eyes and a bushy tail with black rings. ,"raccoon-northern-1.jpg,
raccoon-northern-2.jpg,
raccoon-northern-3.jpg"
"Skunk, Spotted","This skunk is smaller than a striped skunk. It is black with a white patch on the forehead. Although the pattern varies across individuals, typically there are four to six broken white stripes along the body. Very few historical records of spotted skunks from Wisconsin exist.  ",spotted-skunk-eastern-1.jpg
"Skunk, Striped","Striped skunks are best distinguished by their coloration. They have a black body with a white striping pattern. Pattern can vary between individuals, but typically striped skunks have a white stripe on the top of their snout and forehead that extends down the back, splitting into a V-shape.","skunk-striped-1.jpg,
skunk-striped-2.jpg,
skunk-striped-3.jpg"
Turkey,"This large bird appears iridescent bronze in color with alternating dark and light bands on the wing and tail feathers. Their heads are featherless. Males’ heads are red and they have a group of bristles hanging from their chest, called a beard.","turkey-wild-1.jpg,
turkey-wild-2.jpg,
turkey-wild-3.jpg"
Weasel,"Wisconsin is home to least weasels, long-tailed weasels, and short-tailed weasels. These carnivores are small and have long, thin bodies with short legs. In the summer, species are brown to dark brown with a yellowish white underside, and in the winter, they are white. Some species have a black tipped tail. ","weasel-1.jpg,
weasel-2.jpg,
weasel-3.jpg"
"Wolf, Gray","The gray wolf is the largest of wild canid species. Their fur is typically a mix of tan, brown, black, and cinnamon. Other uncommon color variations include both solid black and white. Wolves have a distinctive blocky muzzle with rounded, relatively short ears. ","wolf-gray-1.jpg,
wolf-gray-2.jpg,
wolf-gray-3.jpg"
Wolverine,"This is a stocky mammal with short powerful legs. The fur of a wolverine is brown or brownish black with a blond band on the forehead and a blond band extending along the sides. They have a large head with small ears and sharp claws. This species is considered to be extirpated in Wisconsin, with no recent confirmed reports. ",wolverine-1.jpg
Woodchuck,"This small stocky animal is typically grizzled brown with a dark legs and tail, but can be blackish in color. The top of their head is dark brown and the cheeks cream-brown. ",woodchuck-1.jpg
